amrs_concept_id,kenyaemr_concept_uuid
1789,158358AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1794,164349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1831,1622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1832,160579AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1835,160288AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1836,1645AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1839,164181AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1843,151849AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1850,162904AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1855,1439AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1856,1856AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1857,1440AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1858,122949AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1859,1859AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1861,1744AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1862,1555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1869,1641AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1874,1874AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1875,1875AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1885,113338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1888,160858AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1889,160866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1890,160866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1891,160862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1895,1282AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1896,160855AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1901,1442AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1912,1912AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1914,167061AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1915,160632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1944,1184AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1952,163777AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
